dep;vaccin;jour;n_tot_dose1;n_tot_dose2
93;4;2021-05-13;1269;0
94;1;2021-05-13;280047;144232
94;2;2021-05-13;75;13
94;3;2021-05-13;61181;3279
94;4;2021-05-13;1513;0
95;1;2021-05-13;213803;103647
95;2;2021-05-13;40239;19469
95;3;2021-05-13;50260;2153
95;4;2021-05-13;1412;0
971;1;2021-05-13;21167;10407
971;2;2021-05-13;426;74
971;3;2021-05-13;2810;85
972;1;2021-05-13;40393;21993
972;3;2021-05-13;1927;75
972;4;2021-05-13;33;0
973;1;2021-05-13;29554;13132
974;1;2021-05-13;109947;50284
974;2;2021-05-13;2;0
974;3;2021-05-13;7;4
974;4;2021-05-13;61;0
975;2;2021-05-13;1;0
976;1;2021-05-13;17792;9196
976;2;2021-05-13;0;1
977;1;2021-05-13;6588;1034
977;2;2021-05-13;1;0
977;3;2021-05-13;68;3
978;1;2021-05-13;3448;1982
978;2;2021-05-13;106;123
01;0;2021-05-13;159997;69248
02;0;2021-05-13;142706;62800
03;0;2021-05-13;128696;58201
04;0;2021-05-13;49210;26404
05;0;2021-05-13;45097;22587
06;0;2021-05-13;373189;190815
07;0;2021-05-13;105210;47504
08;0;2021-05-13;88595;37375
09;0;2021-05-13;54069;29443
10;0;2021-05-13;101049;45986
11;0;2021-05-13;113423;51125
12;0;2021-05-13;101127;53840
13;0;2021-05-13;587717;298664
14;0;2021-05-13;234111;97951
15;0;2021-05-13;52127;26227
16;0;2021-05-13;114358;51390
17;0;2021-05-13;221293;111008
18;0;2021-05-13;97906;47353
19;0;2021-05-13;83816;39666
21;0;2021-05-13;158446;72660
22;0;2021-05-13;216730;108601
23;0;2021-05-13;45345;21786
24;0;2021-05-13;138418;68474
25;0;2021-05-13;147468;62293
26;0;2021-05-13;161957;69820
27;0;2021-05-13;160985;68938
28;0;2021-05-13;121895;55512
29;0;2021-05-13;303103;122306
2A;0;2021-05-13;64073;34413
2B;0;2021-05-13;65607;37353
30;0;2021-05-13;224057;106266
31;0;2021-05-13;354562;154823
32;0;2021-05-13;69654;31033
33;0;2021-05-13;482601;207995
34;0;2021-05-13;361219;154361
35;0;2021-05-13;304808;124961
36;0;2021-05-13;79361;34959
37;0;2021-05-13;184525;70307
38;0;2021-05-13;358152;142247
39;0;2021-05-13;78743;37642
40;0;2021-05-13;138172;66651
41;0;2021-05-13;106179;48919
42;0;2021-05-13;238787;103169
43;0;2021-05-13;69131;37254
44;0;2021-05-13;386945;152732
45;0;2021-05-13;176820;73732
46;0;2021-05-13;66410;32750
47;0;2021-05-13;109000;49619
48;0;2021-05-13;23043;13098
49;0;2021-05-13;260545;104989
50;0;2021-05-13;169898;84437
51;0;2021-05-13;163313;64251
52;0;2021-05-13;57934;23542
53;0;2021-05-13;87661;44127
54;0;2021-05-13;218570;90658
55;0;2021-05-13;57088;25491
56;0;2021-05-13;261234;109650
57;0;2021-05-13;318986;161234
58;0;2021-05-13;71589;38010
59;0;2021-05-13;741163;303615
60;0;2021-05-13;211899;100698
61;0;2021-05-13;98110;52840
62;0;2021-05-13;448733;199197
63;0;2021-05-13;198390;91015
64;0;2021-05-13;242973;121889
65;0;2021-05-13;90069;42828
66;0;2021-05-13;166011;72269
67;0;2021-05-13;317194;126047
68;0;2021-05-13;210613;96678
69;0;2021-05-13;492938;212677
70;0;2021-05-13;71068;31498
