dep;vaccin;jour;n_tot_dose1;n_tot_dose2
12;0;2021-04-05;50085;19305
13;0;2021-04-05;299484;103260
14;0;2021-04-05;109039;38413
15;0;2021-04-05;25924;10016
16;0;2021-04-05;51247;21284
17;0;2021-04-05;111183;44159
18;0;2021-04-05;44642;19478
19;0;2021-04-05;43490;16628
21;0;2021-04-05;86315;28377
22;0;2021-04-05;112004;39424
23;0;2021-04-05;21031;9249
24;0;2021-04-05;64128;21096
25;0;2021-04-05;72356;26671
26;0;2021-04-05;80302;27107
27;0;2021-04-05;73918;25135
28;0;2021-04-05;55670;21756
29;0;2021-04-05;139836;49274
2A;0;2021-04-05;32781;14081
2B;0;2021-04-05;33558;12607
30;0;2021-04-05;113507;42172
31;0;2021-04-05;168342;52002
32;0;2021-04-05;28217;13743
33;0;2021-04-05;234740;68127
34;0;2021-04-05;176081;52747
35;0;2021-04-05;138401;47591
36;0;2021-04-05;36823;15843
37;0;2021-04-05;80914;27309
38;0;2021-04-05;167816;56772
39;0;2021-04-05;41867;19599
40;0;2021-04-05;68436;22653
41;0;2021-04-05;47468;18783
42;0;2021-04-05;108628;38574
43;0;2021-04-05;40399;15087
44;0;2021-04-05;168323;56041
45;0;2021-04-05;77825;30748
46;0;2021-04-05;30508;12367
47;0;2021-04-05;47163;14844
48;0;2021-04-05;13302;5703
49;0;2021-04-05;114028;37172
50;0;2021-04-05;84936;29657
51;0;2021-04-05;79954;22649
52;0;2021-04-05;23455;7645
53;0;2021-04-05;48712;15386
54;0;2021-04-05;108708;33940
55;0;2021-04-05;25206;6895
56;0;2021-04-05;113340;41281
57;0;2021-04-05;183334;73009
58;0;2021-04-05;38693;14800
59;0;2021-04-05;381062;112020
60;0;2021-04-05;106736;29539
61;0;2021-04-05;48703;18260
62;0;2021-04-05;246364;56402
63;0;2021-04-05;101312;29194
64;0;2021-04-05;122779;40270
65;0;2021-04-05;39585;15516
66;0;2021-04-05;73357;29546
67;0;2021-04-05;146305;48922
68;0;2021-04-05;104704;39719
69;0;2021-04-05;248443;70376
70;0;2021-04-05;34740;10992
71;0;2021-04-05;94185;32763
72;0;2021-04-05;62282;22625
73;0;2021-04-05;63571;21950
74;0;2021-04-05;97814;26872
75;0;2021-04-05;357802;110812
